token,pos,frequency
彼等,名詞,225
肩,名詞,225
とにかく,副詞,225
赤い,形容詞,225
い,名詞,224
馬鹿,名詞,224
ど,接頭詞,224
横,名詞,224
思想,名詞,223
ゆる,動詞,223
さき,名詞,223
低い,形容詞,223
階,名詞,223
寺,名詞,223
ただ,名詞,222
体,名詞,222
その後,名詞,222
はる,動詞,222
更に,副詞,222
腰,名詞,221
どの,連体詞,221
いや,接続詞,221
きょう,名詞,221
まことに,副詞,221
幾,名詞,221
関係,名詞,221
別,名詞,221
思い,名詞,220
坐る,動詞,220
買う,動詞,220
態度,名詞,220
自ら,名詞,219
示す,動詞,218
文章,名詞,218
ひく,動詞,218
鈎,名詞,218
西洋,名詞,217
しまふ,動詞,217
食,名詞,217
生命,名詞,217
与える,動詞,217
づく,動詞,217
訳,名詞,217
性,名詞,216
呉れる,動詞,216
に対する,助詞,216
趣味,名詞,215
長,名詞,215
虫,名詞,215
広い,形容詞,215
及ぶ,動詞,215
える,動詞,215
血,名詞,215
振る,動詞,215
就く,動詞,215
社会,名詞,215
ぶる,動詞,215
さらに,副詞,214
すぎる,動詞,214
辺,名詞,214
はじめて,副詞,214
けり,助動詞,213
牛,名詞,213
少女,名詞,213
みたい,名詞,213
側,名詞,213
傍,名詞,212
はいる,動詞,212
十二月,名詞,212
杯,名詞,211
社,名詞,211
温泉,名詞,210
答える,動詞,210
一番,名詞,210
白,名詞,210
どうして,副詞,210
いかにも,副詞,209
妙,名詞,209
竹,名詞,209
ば,名詞,208
はっきり,副詞,208
少い,形容詞,208
かつて,副詞,208
立,名詞,208
教育,名詞,207
向,接頭詞,207
違う,動詞,206
罪,名詞,206
逃げる,動詞,206
竿,名詞,206
行う,動詞,206
大正,名詞,205
もっと,副詞,205
せい,名詞,204
奥,名詞,204
能,名詞,204
抱く,動詞,203
八月,名詞,203
逢う,動詞,203
西,名詞,203
次第に,副詞,202
たび,名詞,202
論,名詞,202
有,名詞,201
これら,名詞,201
謂,名詞,201
ぼる,動詞,200
号,名詞,200
品,名詞,200
さ,副詞,200
叫ぶ,動詞,200
即ち,接続詞,200
戦争,名詞,200
降りる,動詞,199
枝,名詞,199
籠,名詞,198
売る,動詞,198
進む,動詞,198
起る,動詞,198
糸,名詞,197
老人,名詞,197
晩,名詞,197
事実,名詞,196
大,名詞,196
東,名詞,196
然し,接続詞,195
ほとんど,副詞,195
現,接頭詞,195
合う,動詞,194
自動車,名詞,194
ける,動詞,194
法,名詞,194
きっと,副詞,194
かん,名詞,194
んで,助詞,193
つづける,動詞,193
教,名詞,193
想像,名詞,193
場所,名詞,193
黙る,動詞,192
玉,名詞,192
むく,動詞,191
使う,動詞,191
郎,名詞,191
させる,動詞,191
島,名詞,191
ほんとう,名詞,191
結果,名詞,191
うに,名詞,191
末,名詞,190
友,名詞,190
散る,動詞,190
寸,名詞,190
突然,副詞,189
なお,接続詞,189
文字,名詞,189
黒い,形容詞,189
感,名詞,189
相違,名詞,189
有る,動詞,188
求める,動詞,188
林,名詞,187
嘘,名詞,187
あまり,名詞,187
人物,名詞,187
にとって,助詞,187
つき,名詞,186
今,接頭詞,186
以前,名詞,185
九月,名詞,185
教える,動詞,185
青い,形容詞,185
又,副詞,185
人生,名詞,185
捨てる,動詞,184
家内,名詞,184
世間,名詞,184
悲しい,形容詞,184
心配,名詞,184
こちら,名詞,184
だい,名詞,184
毛,名詞,184
依る,動詞,183
でる,動詞,183
変,名詞,183
み,接頭詞,183
意,名詞,182
好む,動詞,182
故郷,名詞,182
さす,動詞,182
釣れる,動詞,182
わるい,形容詞,182
連れる,動詞,182
岸,名詞,181
興味,名詞,181
感情,名詞,181
上流,名詞,181
親,名詞,180
現在,名詞,180
非,接頭詞,180
表現,名詞,179
星,名詞,179
つづく,動詞,179
土,名詞,179
跡,名詞,179
幸福,名詞,179
通る,動詞,178
息,名詞,178
限り,名詞,178
発見,名詞,178
写真,名詞,178
みな,名詞,178
迄,助詞,177
如く,名詞,177
へん,名詞,177
しいる,動詞,176
畳,名詞,176
ずつ,助詞,176
矢,名詞,176
鼻,名詞,176
しく,動詞,176
池,名詞,175
甚だ,副詞,175
主義,名詞,175
老,接頭詞,175
しん,名詞,175
或は,接続詞,175
かく,動詞,175
女中,名詞,174
目的,名詞,174
土地,名詞,174
思い出す,動詞,174
出かける,動詞,173
最初,名詞,173
す,動詞,173
なぜ,副詞,173
まあ,副詞,173
こんど,名詞,173
米,名詞,173
続く,動詞,173
回,名詞,172
むかし,名詞,172
季節,名詞,172
現われる,動詞,172
地方,名詞,172
たま,名詞,172
共,名詞,172
初め,名詞,171
弱い,形容詞,171
念,名詞,171
腕,名詞,171
作者,名詞,171
主,名詞,170
ヲ,助詞,170
帰,名詞,170
あたし,名詞,170
一層,副詞,170
程,名詞,170
堂,名詞,170
もん,名詞,170
女房,名詞,170
廻る,動詞,169
案内,名詞,168
全部,名詞,168
ごろ,名詞,168
す,名詞,168
文化,名詞,168
ふたり,名詞,168
筆,名詞,168
給,名詞,167
述べる,動詞,167
教授,名詞,167
違い,名詞,167
名前,名詞,167
骨,名詞,167
明るい,形容詞,167
姉,名詞,167
穴,名詞,166
軽い,形容詞,166
机,名詞,166
歩,名詞,166
日本人,名詞,166
遊ぶ,動詞,165
煙草,名詞,165
記,名詞,165
事件,名詞,165
特に,副詞,165
病,名詞,165
そんなに,副詞,165
菊,名詞,165
世の中,名詞,164
嬉しい,形容詞,164
聴く,動詞,164
苦しい,形容詞,164
あんな,連体詞,164
かく,名詞,164
努力,名詞,164
実際,副詞,164
人形,名詞,163
なり,名詞,163
程,助詞,163
段,名詞,163
参る,動詞,163
流,名詞,163
流れ,名詞,163
伝,名詞,163
説,名詞,163
いかに,副詞,162
初めて,副詞,162
角,名詞,162
起す,動詞,162
料理,名詞,162
運命,名詞,162
状態,名詞,162
根,名詞,162
際,名詞,161
類,名詞,161
あける,動詞,161
縁,名詞,161
とうとう,副詞,160
呑む,動詞,160
常に,副詞,160
消える,動詞,160
銭,名詞,160
午後,名詞,160
こういう,連体詞,160
軒,名詞,160
殿,名詞,160
細い,形容詞,159
汝,名詞,159
渡る,動詞,159
野,名詞,159
弟,名詞,159
それから,接続詞,159
底本,名詞,159
鯛,名詞,158
ノ,記号,158
説明,名詞,158
線,名詞,158
井伏,名詞,157
市,名詞,157
しばらく,副詞,157
かえって,副詞,157
いろいろ,副詞,157
認める,動詞,157
なれる,動詞,157
田,名詞,157
注意,名詞,157
部,名詞,156
まえる,動詞,156
付き,名詞,156
お父さん,名詞,156
問,名詞,156
廿,名詞,155
如何,名詞,155
敵,名詞,155
遂に,副詞,155
上げる,動詞,155
さすが,副詞,155
ども,名詞,155
重い,形容詞,155
出版,名詞,154
いと,副詞,153
病院,名詞,153
黒,名詞,153
梅,名詞,153
四月,名詞,153
起きる,動詞,153
我が,連体詞,153
猫,名詞,153
おいしい,形容詞,153
田舎,名詞,153
大学,名詞,153
いずれ,名詞,152
愛す,動詞,152
床,名詞,152
着物,名詞,152
買,名詞,151
あがる,動詞,150
病気,名詞,150
うる,動詞,150
南,名詞,150
美術,名詞,150
考,名詞,149
全,接頭詞,149
五月,名詞,149
他人,名詞,149
遊び,名詞,149
失う,動詞,149
または,接続詞,149
前,接頭詞,149
物語,名詞,149
隅,名詞,148
城,名詞,148
下す,動詞,148
全然,副詞,148
眠る,動詞,148
だの,助詞,148
普通,名詞,148
どうしても,副詞,147
急ぐ,動詞,147
羽,名詞,147
印象,名詞,147
代,名詞,147
巻,名詞,147
青,名詞,147
存在,名詞,147
近づく,動詞,146
向う,名詞,146
全体,名詞,146
用いる,動詞,146
押す,動詞,146
しかる,動詞,145
理由,名詞,145
よろしい,形容詞,145
絵,名詞,145
向う,動詞,144
尋ねる,動詞,144
すでに,副詞,144
談,名詞,144
恋,名詞,144
今年,名詞,144
調子,名詞,144
着く,動詞,144
靜,名詞,144
公,名詞,144
畑,名詞,144
こむ,動詞,144
経験,名詞,143
難い,形容詞,143
無理,名詞,143
明,名詞,143
きる,動詞,143
いつか,名詞,143
居,名詞,143
しま,名詞,142
光る,動詞,142
望む,動詞,142
京都,名詞,142
しれる,動詞,142
どんなに,副詞,142
なくなる,動詞,142
固い,形容詞,141
おまえ,名詞,141
赤,名詞,141
指,名詞,141
おもい,形容詞,141
自,接頭詞,141
夫人,名詞,141
このごろ,名詞,141
はつ,名詞,141
とともに,助詞,141
うれしい,形容詞,141
ふむ,動詞,141
心持,名詞,140
残す,動詞,140
こい,形容詞,140
恐ろしい,形容詞,140
一般,名詞,140
科,名詞,140
しも,助詞,140
答,名詞,139
学生,名詞,139
極めて,副詞,139
己,名詞,139
同じく,副詞,139
露,名詞,139
かえる,動詞,139
限る,動詞,139
今夜,名詞,139
もる,動詞,139
三つ,名詞,139
追,接頭詞,139
お金,名詞,139
かる,動詞,139
ちゃ,助詞,138
古,接頭詞,138
やっぱり,副詞,138
図,名詞,138
むしろ,副詞,138
方法,名詞,138
終,名詞,138
現実,名詞,137
なあ,助詞,137
ふう,名詞,137
鳴る,動詞,137
頬,名詞,137
やや,副詞,137
直ぐ,副詞,137
終る,動詞,137
だんだん,副詞,137
州,名詞,137
夫婦,名詞,137
化,名詞,136
なんと,副詞,136
両,接頭詞,136
箱,名詞,136
小屋,名詞,136
寂しい,形容詞,136
情,名詞,136
及び,接続詞,136
勿論,副詞,136
政治,名詞,136
諸,接頭詞,136
覺,名詞,136
波,名詞,135
やって来る,動詞,135
持,名詞,135
北,名詞,135
あり,動詞,135
変化,名詞,135
たる,名詞,135
説く,動詞,135
途中,名詞,134
原稿,名詞,134
安心,名詞,134
借りる,動詞,134
陽,名詞,134
名人,名詞,134
まち,名詞,134
相,名詞,134
二月,名詞,134
微笑,名詞,134
女性,名詞,133
善い,形容詞,133
たけ,名詞,133
一種,名詞,133
命,名詞,133
遠く,名詞,133
育つ,動詞,133
価値,名詞,133
さる,動詞,133
働く,動詞,133
かしら,助詞,133
助,名詞,133
太宰,名詞,133
詩人,名詞,133
理想,名詞,133
つい,副詞,133
王,名詞,132
淋しい,形容詞,132
三月,名詞,132
