token,pos,frequency
失礼,名詞,44
黒い,形容詞,44
感,名詞,44
かつ,接続詞,44
青,名詞,44
キリスト,名詞,44
さまざま,名詞,44
まいる,動詞,44
尺,名詞,44
遊ぶ,動詞,43
尊敬,名詞,43
尋ねる,動詞,43
大声,名詞,43
きめる,動詞,43
三つ,名詞,43
知,名詞,43
起す,動詞,43
苦笑,名詞,43
葉,名詞,43
他人,名詞,43
わざと,副詞,43
細君,名詞,43
温泉,名詞,43
させる,動詞,43
かまう,動詞,43
だんだん,副詞,43
くら,名詞,43
一言,名詞,43
既に,副詞,43
興奮,名詞,43
すすめる,動詞,43
腹,名詞,42
程,名詞,42
どうしても,副詞,42
すでに,副詞,42
もはや,副詞,42
ど,助詞,42
やめる,動詞,42
挙げる,動詞,42
勝治,名詞,42
諸君,名詞,42
自由,名詞,42
当る,動詞,42
たま,名詞,42
たび,名詞,42
つらい,形容詞,42
思い出,名詞,42
上る,動詞,41
罪,名詞,41
月,名詞,41
よろこぶ,動詞,41
なす,動詞,41
ども,助詞,41
辺,名詞,41
茶店,名詞,41
呟く,動詞,41
汚い,形容詞,41
近く,名詞,41
たつ,動詞,41
ゆっくり,副詞,41
小声,名詞,41
短篇,名詞,41
汽車,名詞,41
無理,名詞,41
まさか,副詞,40
やっと,副詞,40
安心,名詞,40
事実,名詞,40
芹川,名詞,40
固い,形容詞,40
いらっしゃる,動詞,40
さき,名詞,40
べ,助詞,40
ふり,名詞,40
もる,動詞,40
眞,名詞,40
むく,動詞,40
咲く,動詞,40
更に,副詞,40
創作,名詞,40
卑屈,名詞,40
考へる,動詞,40
詩人,名詞,40
為,名詞,40
ぼう,名詞,40
絵,名詞,40
いや,感動詞,40
重い,形容詞,40
この世,名詞,40
奥,名詞,40
素直,名詞,40
木,名詞,40
生,名詞,40
あいだ,名詞,40
詩,名詞,40
に対して,助詞,40
みな,名詞,40
精神,名詞,40
川,名詞,40
新,接頭詞,39
ちかく,副詞,39
文,名詞,39
たまらない,形容詞,39
やたら,副詞,39
つまる,動詞,39
光る,動詞,39
きれい,名詞,39
を以て,助詞,39
はねる,動詞,39
ぶん,名詞,39
社,名詞,39
左,名詞,39
死,名詞,39
裏,名詞,39
捜す,動詞,39
そ,名詞,39
溜息,名詞,39
ど,接頭詞,39
ぶる,動詞,39
つい,副詞,39
お家,名詞,38
市,名詞,38
しめる,動詞,38
はれる,動詞,38
滝,名詞,38
まつ,名詞,38
三浦,名詞,38
なんにも,副詞,38
お方,名詞,38
光,名詞,38
先輩,名詞,38
バス,名詞,38
古い,形容詞,38
ある,連体詞,38
あんまり,副詞,38
つたの,名詞,38
苦労,名詞,38
食う,動詞,38
小屋,名詞,38
元気,名詞,38
直す,動詞,38
まつ,動詞,38
島,名詞,38
ゆ,名詞,37
どうか,副詞,37
自然,名詞,37
馬,名詞,37
抱く,動詞,37
三郎,名詞,37
切れる,動詞,37
風景,名詞,37
使う,動詞,37
感想,名詞,37
医者,名詞,37
ゆく,動詞,37
郎,名詞,37
流れる,動詞,37
仕方,名詞,37
だまる,動詞,37
失う,動詞,37
会,名詞,37
閉口,名詞,37
どうにも,副詞,37
よす,動詞,37
廻る,動詞,37
百姓,名詞,37
ごはん,名詞,37
や,助動詞,36
冊,名詞,36
貴下,名詞,36
とかいう,助詞,36
汝,名詞,36
案内,名詞,36
年間,名詞,36
服装,名詞,36
