token,pos,frequency
ぺん,名詞,99
つと,副詞,98
っと,助詞,98
吹く,動詞,98
実は,接続詞,98
進む,動詞,98
ける,動詞,98
かえる,動詞,98
はく,動詞,98
くい,形容詞,98
宿,名詞,98
大事,名詞,98
気の毒,名詞,97
つくる,動詞,97
世間,名詞,97
奥,名詞,97
国,名詞,97
乗る,動詞,97
かい,助詞,96
栗,名詞,96
起す,動詞,96
あるいは,接続詞,96
おい,名詞,96
どんなに,副詞,96
ほん,名詞,96
与える,動詞,96
道,名詞,96
よろしい,形容詞,96
こんなに,副詞,96
燃える,動詞,96
打つ,動詞,95
上る,動詞,95
ふく,動詞,95
よる,動詞,95
違う,動詞,95
近く,名詞,95
える,動詞,95
崖,名詞,95
たった,副詞,95
時代,名詞,94
集,名詞,94
なつ,名詞,94
ちっとも,副詞,94
右,名詞,94
かしら,助詞,94
離れる,動詞,94
腕,名詞,94
謂,名詞,94
語る,動詞,94
ゆ,名詞,93
どうか,副詞,93
い,名詞,93
シャツ,名詞,93
うい,形容詞,93
急ぐ,動詞,93
ちがい,名詞,93
少女,名詞,93
校長,名詞,93
振る,動詞,93
大学,名詞,93
きん,名詞,93
立てる,動詞,92
使う,動詞,92
最も,副詞,92
において,助詞,92
向く,動詞,92
門,名詞,92
はん,名詞,92
わし,名詞,92
ひとつ,名詞,92
書,名詞,92
うん,感動詞,92
引く,動詞,92
まつ,動詞,92
たいてい,副詞,91
いろいろ,副詞,91
そっと,副詞,91
くら,名詞,91
万,名詞,91
安心,名詞,91
かい,名詞,91
かれる,動詞,91
髪,名詞,91
それから,接続詞,91
山男,名詞,91
どんどん,副詞,91
何だか,副詞,90
丘,名詞,90
つづける,動詞,90
つらい,形容詞,90
白,名詞,90
お客,名詞,89
いかにも,副詞,89
すむ,動詞,89
降りる,動詞,89
会,名詞,89
消える,動詞,89
岩,名詞,89
頬,名詞,89
實,名詞,89
はい,感動詞,88
まっすぐ,副詞,88
遠く,名詞,88
必ず,副詞,88
さき,名詞,88
自己,名詞,88
ちょうど,副詞,88
まち,名詞,88
静か,名詞,88
描く,動詞,87
けれども,接続詞,87
多少,副詞,87
去る,動詞,87
野,名詞,87
行う,動詞,87
同,接頭詞,87
大丈夫,名詞,87
明治,名詞,87
返事,名詞,86
こども,名詞,86
すき,名詞,86
ぼう,名詞,86
かう,動詞,86
無理,名詞,86
學,名詞,86
それでは,接続詞,86
階,名詞,86
たび,名詞,86
尺,名詞,86
最後,名詞,86
すでに,副詞,85
つき,名詞,85
住む,動詞,85
つめたい,形容詞,85
しめる,動詞,85
起きる,動詞,85
やす,助動詞,85
残る,動詞,85
もっとも,副詞,85
葡萄,名詞,84
煙草,名詞,84
穴,名詞,84
蛙,名詞,84
弟,名詞,84
あう,動詞,84
北,名詞,84
かすか,名詞,84
兎,名詞,84
汗,名詞,84
楢,名詞,84
覚える,動詞,84
おや,感動詞,84
腹,名詞,83
捨てる,動詞,83
学生,名詞,83
こい,形容詞,83
ちゃん,名詞,83
着く,動詞,83
むかし,名詞,83
世,名詞,83
戻る,動詞,83
長,名詞,83
逃げる,動詞,83
ちがう,動詞,83
西,名詞,83
自由,名詞,83
机,名詞,83
例,名詞,83
作者,名詞,83
なんと,副詞,82
給,名詞,82
駄目,名詞,82
職業,名詞,81
列,名詞,81
細い,形容詞,81
かげ,名詞,81
落ちつく,動詞,81
古い,形容詞,81
さ,副詞,81
医者,名詞,81
す,名詞,81
落す,動詞,81
ふたり,名詞,81
精神,名詞,81
百姓,名詞,81
ふり,名詞,80
ども,助詞,80
服,名詞,80
狸,名詞,80
びっくり,名詞,80
いただく,動詞,80
にわかに,副詞,80
なれる,動詞,80
うそ,名詞,80
酔う,動詞,80
